customer_id,company_name,country,city,order_id,order_date,product_id,unit_price,quantity,discount,total_price
VINET,Vins et alcools Chevalier,France,Reims,10248,1996-07-04,11,14.0,12,0.0,168.0
VINET,Vins et alcools Chevalier,France,Reims,10248,1996-07-04,42,9.8,10,0.0,98.00000190734863
VINET,Vins et alcools Chevalier,France,Reims,10248,1996-07-04,72,34.8,5,0.0,173.99999618530273
TOMSP,Toms Spezialitäten,Germany,Münster,10249,1996-07-05,14,18.6,9,0.0,167.40000343322754
TOMSP,Toms Spezialitäten,Germany,Münster,10249,1996-07-05,51,42.4,40,0.0,1696.0000610351562
HANAR,Hanari Carnes,Brazil,Rio de Janeiro,10250,1996-07-08,41,7.7,10,0.0,76.99999809265137
HANAR,Hanari Carnes,Brazil,Rio de Janeiro,10250,1996-07-08,51,42.4,35,0.15,1261.4000365495679
HANAR,Hanari Carnes,Brazil,Rio de Janeiro,10250,1996-07-08,65,16.8,15,0.15,214.199988770485
VICTE,Victuailles en stock,France,Lyon,10251,1996-07-08,22,16.8,6,0.05,95.75999557614327
VICTE,Victuailles en stock,France,Lyon,10251,1996-07-08,57,15.6,15,0.05,222.3000052616
VICTE,Victuailles en stock,France,Lyon,10251,1996-07-08,65,16.8,20,0.0,335.99998474121094
SUPRD,Suprêmes délices,Belgium,Charleroi,10252,1996-07-09,20,64.8,40,0.05,2462.4001140356063
SUPRD,Suprêmes délices,Belgium,Charleroi,10252,1996-07-09,33,2.0,25,0.05,47.4999999627471
SUPRD,Suprêmes délices,Belgium,Charleroi,10252,1996-07-09,60,27.2,40,0.0,1088.0000305175781
HANAR,Hanari Carnes,Brazil,Rio de Janeiro,10253,1996-07-10,31,10.0,20,0.0,200.0
HANAR,Hanari Carnes,Brazil,Rio de Janeiro,10253,1996-07-10,39,14.4,42,0.0,604.7999839782715
HANAR,Hanari Carnes,Brazil,Rio de Janeiro,10253,1996-07-10,49,16.0,40,0.0,640.0
CHOPS,Chop-suey Chinese,Switzerland,Bern,10254,1996-07-11,24,3.6,15,0.15,45.89999846220017
CHOPS,Chop-suey Chinese,Switzerland,Bern,10254,1996-07-11,55,19.2,21,0.15,342.72001121520987
CHOPS,Chop-suey Chinese,Switzerland,Bern,10254,1996-07-11,74,8.0,21,0.0,168.0
RICSU,Richter Supermarkt,Switzerland,Genève,10255,1996-07-12,2,15.2,20,0.0,303.99999618530273
